Orchard Oriole Icterus spurius
Osprey Pandion haliaetus
Ovenbird Seiurus aurocapilla
Pacific Loon Gavia pacifica
Painted Bunting Passerina ciris
Palm Warbler Setophaga palmarum
Pectoral Sandpiper Calidris melanotos
Peregrine Falcon Falco peregrinus
Pied-billed Grebe Podilymbus podiceps
Pileated Woodpecker Dryocopus pileatus
Pine Siskin Spinus pinus
Pine Warbler Setophaga pinus
Piping Plover Charadrius melodus
Pomarine Jaeger Stercorarius pomarinus
Prairie Falcon Falco mexicanus
Prairie Warbler Setophaga discolor
Prothonotary Warbler Protonotaria citrea
Purple Finch Haemorhous purpureus
Purple Martin Progne subis
Red Crossbill Loxia curvirostra
Red Knot Calidris canutus
Red-bellied Woodpecker Melanerpes carolinus
Red-breasted Merganser Mergus serrator
Red-breasted Nuthatch Sitta canadensis
Red-cockaded Woodpecker Leuconotopicus borealis
Red-eyed Vireo Vireo olivaceus
Red-footed Booby Sula sula
Red-headed Woodpecker Melanerpes erythrocephalus
Red-shouldered Hawk Buteo lineatus
Red-tailed Hawk Buteo jamaicensis
Red-throated Loon Gavia stellata
Red-winged Blackbird Agelaius phoeniceus
Reddish Egret Egretta rufescens
Redhead Aythya americana
Ring-billed Gull Larus delawarensis
Ring-necked Duck Aythya collaris
Rock Pigeon Columba livia
Rose-breasted Grosbeak Pheucticus ludovicianus
Roseate Spoonbill Platalea ajaja
Ross's Goose Anser rossii
Royal Tern Thalasseus maximus
Ruby-crowned Kinglet Corthylio calendula
Ruby-throated Hummingbird Archilochus colubris
Ruddy Duck Oxyura jamaicensis
Ruddy Turnstone Arenaria interpres
Rufous Hummingbird Selasphorus rufus
Rusty Blackbird Euphagus carolinus
Sanderling Calidris alba
Sandhill Crane Antigone canadensis
Sandwich Tern Thalasseus sandvicensis
Savannah Sparrow Passerculus sandwichensis
Scaly-breasted Munia Lonchura punctulata
Scarlet Tanager Piranga olivacea
Seaside Sparrow Ammospiza maritima
Sedge Wren Cistothorus stellaris
Semipalmated Plover Charadrius semipalmatus
Sharp-shinned Hawk Accipiter striatus
Shiny Cowbird Molothrus bonariensis
Short-billed Dowitcher Limnodromus griseus
Short-eared Owl Asio flammeus
Snow Bunting Plectrophenax nivalis
Snow Goose Anser caerulescens
Snowy Egret Egretta thula
Snowy Plover Anarhynchus nivosus
Solitary Sandpiper Tringa solitaria
Song Sparrow Melospiza melodia
Sora Porzana carolina
Spotted Sandpiper Actitis macularius
Stilt Sandpiper Calidris himantopus
Summer Tanager Piranga rubra
Surf Scoter Melanitta perspicillata
Swainson's Warbler Limnothlypis swainsonii
Swallow-tailed Kite Elanoides forficatus
Swamp Sparrow Melospiza georgiana
Tennessee Warbler Leiothlypis peregrina
Tree Swallow Tachycineta bicolor
Tricolored Heron Egretta tricolor
Trumpeter Swan Cygnus buccinator
Tufted Titmouse Baeolophus bicolor
Tundra Swan Cygnus columbianus
Turkey Vulture Cathartes aura
Upland Sandpiper Bartramia longicauda
Vermilion Flycatcher Pyrocephalus rubinus
Vesper Sparrow Pooecetes gramineus
Virginia Rail Rallus limicola
Western Cattle-Egret Ardea ibis
Western Grebe Aechmophorus occidentalis
Western Kingbird Tyrannus verticalis
Western Meadowlark Sturnella neglecta
Western Sandpiper Calidris mauri
